Рік,Місяць,t,Офіційний курс гривні до злотого на останній день місяця,Офіційний курс гривні до юаня на останній день місяця,Офіційний курс гривні до євро на останній день місяця,ВВП Польша,ВВП Китай,ВВП Німеччина,"Кількість нових випадків COVID-19, Китай","Кількість нових випадків COVID-19, Польша","Кількість нових випадків COVID-19, Україна","Кількість нових випадків COVID-19, Німеччина",Сальдо прямих інвестицій,Приватні перекази,Індекс реальної зарплати до відповідного місяця попереднього року ,Експорт товарів,Імпорт товарів
2020,січ,1,6.411,3.6031,27.4751,100.3521258,98.13336072,99.65650868,9242,0,0,0,466,948,112.5,3793,3982
,лют,2,6.2426,3.5056,26.9299,100.2444525,85.65112313,99.62380549,11330,0,0,18,382,972,112.2,3602,4409
,берез,3,6.8015,3.9509,30.9617,98.44127569,97.82264568,94.71989593,15974,2311,645,561,712,946,109.3,3863,4606
,квіт,4,6.4363,3.8108,29.2424,93.38600414,97.79078973,91.48709573,18783,10566,9761,588179,-316,850,99.6,3621,3317
,трав,5,6.7044,3.7613,29.6234,90.72316394,97.84911422,89.84062956,22289,10909,13266,3942925,-445,889,101.4,3186,3261
,черв,6,6.7002,3.7711,29.95,92.47883112,97.99215519,91.87086462,25352,10855.431,21582,20401,-491,954,104.8,3038,3836
,лип,7,7.3851,3.9542,32.547,94.22827258,98.21236339,93.90342691,27694,11295,26150,5670762,-59,1036,105.1,3354,4330
,серп,8,7.4517,3.9866,32.7334,95.96828295,98.50363114,95.93313552,28584,21684,52728,6265079,54,1015,106,3868,4292
,вер,9,7.3101,4.151,33.1309,95.57164105,98.86015636,96.05107019,30711,24142,90314,7024733,102,1026,109.7,3776,4467
,жовт,10,7.2038,4.2386,33.2984,95.17682602,99.27562458,96.16602843,31669,271217,184884,8023521,-120,1085,110.6,4225,4744
,лист,11,7.5697,4.3256,33.9596,94.78312392,99.74147551,96.2785989,32526,628080,353013,11653042,-102,1066,108.1,4315,5076
,груд,12,7.6348,4.3333,34.7396,94.87445817,100.2418465,95.70956117,32459,304067,334654,24564361,-66,1193,110.1,4502,5601
2021,січ,13,7.4983,4.3575,34.1035,94.96334576,100.7494236,95.14342264,28094,218507,174549,44110281,-652,934,108.3,3560,3983
,лют,14,7.5708,4.3268,34.1459,95.04998413,101.2212041,94.58217433,40141,193601,133982,62555325,-109,1044,107.6,4097,4632
,берез,15,7.027,4.2617,32.7233,95.20208809,101.61637,94.96932202,42612,614731,329501,65660655,-697,1199,109.5,4827,5767
,квіт,16,7.3664,4.2887,33.6427,95.35187913,101.9154855,95.35625099,40938,614731,399041,81244650,-629,1157,119.7,4909,5057
,трав,17,7.4446,4.3126,33.3896,95.49950054,102.1154788,95.74234254,39893,80141,136829,93513080,-359,1106,116.8,5158,4981
,черв,18,7.1486,4.2052,32.3018,95.55531156,102.2241905,96.10772774,38289,7629,39202,111203900,-349,1190,112.9,4905,5231
,лип,19,6.9734,4.1625,31.9239,95.59952244,102.2567021,96.47372081,37361,3027,33308,111665218,-617,1213,110.2,5186,5973
,серп,20,6.9388,4.1517,31.6963,95.64328954,102.2327985,96.83932007,34756,5731,49360,119307341,-744,1231,110.9,5931,6112
,вер,21,6.6942,4.1113,30.981,95.70112356,102.1735035,97.96475431,32693,18401,148737,116353133,-685,1266,106.9,5993,6408
